,,,,,,,CUT OF RANKS -COMEDK UGET 2016,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Notified on 3rd June 2017,,,,
INSTITUTE,CATEGORY,,,,,,,,,,,,COURSES,,,,,,,,,,,
,,MAR,AERO,AR,AS,AUTO,BIOM,BT,CE,CHE,CSE,CT,CTM,ECE,EEE,EIE,IEM,ISE,IT,ME,MECH,MED,MIN,TE
Dr. T. THIMMAIAH INSTITUTE OF,,,,,,,,,,,,,,,,,,,,,,,,,
TECHNOLOGY,,GM,,,,,,,,,,,,,,,,,,,,,,53509,
EAST POINT COLLEGE OF ENGINEERING AND,,,,,,,,,,,,,,,,,,,,,,,,,
TECHNOLOGY,,GM,,,,,,,,,,46174,,,,,,,,,,,,,
EAST WEST INSTITUTE OF TECHNOLOGY,,GM,,,,,,,,41027,,43988,,,31902,,,,47872,,47838,,,,
GITAM UNIVERSITY,,GM,,,,,,,,,,40056,,,45175,,,,,,52334,,,,
,,GM,,,,,,,,47613,,35180,,,55498,,,,42617,,43195,,,,
GLOBAL ACADEMY OF TECHNOLOGY,,HKR,,,,,,,,,,,,,33840,,,,,,,,,,
GM INSTITUTE OF TECHNOLOGY,,GM,,,,,,,,50717,,47992,,,,,,,45382,,,,,,
GOPALAN COLLEGE OF ENGINEERING AND,,,,,,,,,,,,,,,,,,,,,,,,,
MANAGEMENT,,GM,,,,,,,,,,38534,,,,,,,,,,,,,
GSSS WOMEN Mysore,,GM,,,,,,,,,,55589,,,48448,28588,,,39642,,,,,,
H.K.E.SOCIETY'S P.D.A. COLLEGE OF,,GM,,,,,50920,,,54982,,40627,,,,,32919,,,,,,,,
ENGINEERING,,HKR,,,,,,,,51713,,32058,,,,,,,,,,,,,
J N N COLLEGE OF ENGINEERING,,GM,,,,,,,,53631,,40465,,,50879,32290,,,50833,,54233,,,,49262
JAIN COLL OF ENGG Belgaum,,GM,,,,,,,,,,47170,,,,,,,,,48656,,,,
,,GM,,,,,,,,53126,,8889,,,17596,,,,11729,,54644,,,,
JSS ACADEMY Bangalore,,HKR,,,,,,,,,,27316,,,22340,,,,33782,,,,,,
,,GM,,,,,,,41466,19122,,2444,,45317,5876,,,,5289,,11252,,,,
JSS UNIVERSITY,Mysore (SJCE),HKR,,,,,,,,47029,,7456,,,11981,,,,8951,,20620,,,,
JYOTHY INSTITUTE OF TECHNOLOGY,,GM,,,,,,,,,,,,,35268,,,,,,,,,,
,,GM,,,,,,,,,,33731,,,54104,,,,,,40268,,,,
K S INSTITUTE OF TECHNOLOGY,,HKR,,,,,,,,,,40676,,,,,,,,,,,,,
K.S SCHOOL OF ENGINEERING AND,,,,,,,,,,,,,,,,,,,,,,,,,
MANAGEMENT,,GM,,,,,,,,54439,,45277,,,,,,,,,,,,,
KLE DR. M S SHESHGIRI COLLEGE OF,,,,,,,,,,,,,,,,,,,,,,,,,
ENGINEERING AND TECHNOLOGY,,GM,,,,,,,,32037,49305,48164,,,,,,,,,52868,,,,
KLE SOCIETY'S K.L.E. INSTITUTE OF,,GM,,,,,,,,53772,,54263,,,48976,,,,40449,,54776,,,,
TECHNOLOGY,,HKR,,,,,,,,51189,,,,,,,,,,,,,,,
KLE TECHNOLOGICAL UNIVERSITY (BVB),,GM,,,48784,,,,47202,26150,,17083,,,17993,34505,,,,,27574,,,,
Hubbali,,HKR,,,,,,,,51142,,20504,,,32683,,,,,,39867,,,,
,,GM,,,,,,,,54674,,29355,,,52952,47484,,,53011,,52723,,,,
KLS GOGTE INSTITUTE OF TECHNOLOGY,,HKR,,,,,,,,54527,,40964,,,,,,,,,52469,,,,
KLS'S VISHWANATHRAO DESHPANDE RURAL,,,,,,,,,,,,,,,,,,,,,,,,,
INSTITUTE OF TECHNOLOGY,,GM,,,,,,,,,,49152,,,45255,38627,,,,,49714,,,,
KNS INSTITUTE OF TECHNOLOGY,,GM,,,,,,,,,,39233,,,,,,,,,,,,,
M.S. ENGINEERING COLLEGE,,GM,,,,,,,,,,,,,,35258,,,,,,,,,
,,,,,,,CUT OF RANKS -COMEDK UGET 2016,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Notified on 3rd June 2017,,,,
INSTITUTE,CATEGORY,,,,,,,,,,,,COURSES,,,,,,,,,,,
,,MAR,AERO,AR,AS,AUTO,BIOM,BT,CE,CHE,CSE,CT,CTM,ECE,EEE,EIE,IEM,ISE,IT,ME,MECH,MED,MIN,TE
,GM,,,,,,,14187,9968,9426,1084,,,1898,3251,7715,12822,1561,,3961,,21514,,8107
M.S. RAMAIAH INSTITUTE OF TECHNOLOGY,HKR,,,,,,,,20386,,5497,,,9268,11391,31606,,7695,,22818,,41783,,36240
MAHARAJA INSTITUTE OF TECHNOLOGY,GM,,,,,,,,52876,,40895,,,49166,,,,,,52520,,,,
MALNAD COLLEGE OF ENGINEERING,GM,,,,,,,,,,,,,,,,,33103,,,,,,
MANGALORE INSTITUTE OF TECHNOLOGY,,,,,,,,,,,,,,,,,,,,,,,,
AND ENGINEERING,GM,,51551,,,,,,,,52661,,,,,,,,,27896,,,,
MANGALORE MARINE COLLEGE AND,,,,,,,,,,,,,,,,,,,,,,,,
TECHNOLOGY,GM,15598,,,,,,,,,,,,,,,,,,,,,,
MYSORE COLLEGE OF ENGINEERING AND,,,,,,,,,,,,,,,,,,,,,,,,
MANAGEMENT,GM,,,,,,,,,,21799,,,,,,,,,,,,,
NAGARJUNA COLLEGE OF ENGINEERING AND,,,,,,,,,,,,,,,,,,,,,,,,
TECHNOLOGY,GM,,,,,,,,42792,,55662,,,,,,,,,,,,,
NANDI INSTITUTE OF TECHNOLOGY AND,,,,,,,,,,,,,,,,,,,,,,,,
MANAGEMENT SCIENCES,GM,,,,,,,,,,53975,,,,,,,,,,,,,
NIE INSTITUTE OF TECHNOLOGY,GM,,,,,,,,,,25538,,,,15077,,,34361,,,,,,
NITTE MEENAKSHI INSTITUTE OF,GM,,34011,,,,,,53759,,11106,,,19467,34316,,,16156,,34982,,,,
TECHNOLOGY,HKR,,,,,,,,54818,,30944,,,54635,,,,41605,,22400,,,,
NMAM INSTITUTE OF TECHNOLOGY,GM,,,,,,,,47051,,21885,,,47876,33513,,,46401,,54024,,,,
PESCE MANDYA,GM,,,,,,,,49804,,55436,,,45301,,,,33192,,,,,,
,GM,,,,,,,,,,3040,,,6230,,,,4049,,18408,,,,
PESIT BLR SOUTH CAMPUS,HKR,,,,,,,,,,16895,,,19495,,,,22472,,32287,,,,
PESITM SHIMOGA,GM,,,,,,,,,,55303,,,,,,,,,26906,,,,
PRESIDENCY UNIVERSITY,GM,,,,,,,,,,51009,,,,,,,,,,,,,
,GM,,,,5334,,,8337,5102,3629,450,,,918,1960,3127,6625,612,,1737,,,,2985
R V COLLEGE OF ENGINEERING,HKR,,,,27609,,,34194,15619,15142,1628,,,3886,9911,24802,14175,3183,,6130,,,,18297
R.R.INSTITUTE OF TECHNOLOGY,GM,,,,,,,,,,44298,,,,,,,,,,,,,
RAJA RAJESWARI COLLEGE OF ENGINEERING,GM,,,,,,,,,,55615,,,,,,,,,,,,,
RAJIV GANDHI INSTITUTE OF TECHNOLOGY,GM,,,,,,46599,,,,46217,,,51979,17841,,,,,,,,,
,GM,,,,,,,,53973,,,,,37212,42658,,,,,51691,,,,
REVA UNIVERSITY,HKR,,,,,,,,54347,,,,,,,,,,,,,,,
,GM,,,,,,,,49246,,5853,,,12287,23287,50590,,7852,,32805,,,,
RNS INSTITUTE OF TECHNOLOGY,HKR,,,,,,,,45559,,17477,,,32024,,,,19026,,,,,,
S J C INSTITUTE OF TECHNOLOGY,GM,,43945,,,,,,,,39071,,,37942,,,,37723,,,,,,
S.E.A. COLLEGE OF ENGINEERING AND,,,,,,,,,,,,,,,,,,,,,,,,
TECHNOLOGY,GM,,,,,,,,,,,,,46017,,,,,,,,,,
